CountryCode,CountryName,RegiónBM,Región,Bloque_RTA,Population,OMCmemberdummy,OMCdetailed,GTCEcrono,GTCEmemberx2,GTCEm1,GTCEm2,GTCEm3,GTCE70vs20,GTCE77vs13,REGPOLx4,REGPOLx2,ECOMx2nva,ECOMx2,EGOV2020x2,EGOV2020x3,EGOV2020x4,EGOV_muyAltoD,EGOV_AltoD,EGOVindex2020,EGOV20Log,EGOVordx4original,EGOVordx16original,INCOMEx4,INCOMEx2,Densidadx2,Densidadx3,Densidadx4,DensidadMediaBaja_DUM,DensidadMediaAlta_DUM,DensidadAlta_DUM,DensidadMenor,DensidadMayor,RTA#,ecRTA#,Red_ecRTA_1almenos,Red_ecRTAx3ok,Red_RTAx3ok,Red_RTA_altaDUM,Red_ecRTA_altaDUM,Red_ecRTAx4,Red_RTAx4,Red_ecRTAx2ok,Red_RTAx2ok,moratoria_alcanceOK,moratoria_extensiónOK,transferencias,reglamentación,impuestos,desarrollo,localización_de_datos,enfoque,NDOCSGTCEind,NDOCSGTCEconj,filter_$INTEGRADO,filter_$ecRTAcat1,filter_$,filter_$OMC,filter_$MODrealistaBIS,filter_$MODrealistaMinimal,filter_$MODintegrado,filter_$SERVERS,filter_$INCOME,filter_$EGOV,filter_$ECOM,filter_$REG,filter_$M3
BEN,Benin,4,4,22,10872298,1,2,2,1,0,0,1,2,2,4,1,1,0,0,2,0,0,0,.4039,-.393726146830012,2,6,2,0,0,1,1,0,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0,1,5, , ,0,2,0, ,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
BOL,Bolivia,5,5,30,10887882,1,2,3,0,0,0,0,0,0,3,1,1,0,0,1,1,0,0,.6129,-.21261037864789,3,10,2,0,0,2,2,1,0,0,1,0,4,0,0,0,1,0,0,0,1,0,0, , , , , , , , , , ,1,1,0,1,1,1,0,1,1,1,1,1,0
BWA,Botswana,4,4,19,2250260,1,2,3,0,0,0,0,0,0,4,1,1,0,0,1,1,0,0,.5383,-.268975620184312,3,9,3,1,0,2,2,1,0,0,1,0,6,0,0,0,1,0,0,0,1,0,0,1,5,1,1,0,2,0, ,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0
BRA,Brazil,5,5,4,207652865,1,2,0,1,1,1,1,1,1,3,1,2,1,1,1,2,0,1,.7677,-.114808459393152,4,13,3,1,1,2,3,0,1,0,0,1,9,0,0,0,1,1,0,0,2,0,1,5,6, , ,3,3,0, ,5,1,1,1,0,1,1,1,1,1,1,1,1,1,1
BRN,Brunei Darussalam,7,7,7,423196,1,2,0,1,1,1,1,1,1,0, , , ,1,1,2,0,1,.7389,-.131414333441234,3,12,4,1, , , , , , , , ,9,2,1,1,1,1,0,1,2,0,1, , , , , , , , , , , ,1,0,1,1, , , ,1,1,0,0,1
BGR,Bulgaria,2,2,1,7127822,1,2,0,1,1,1,1,1,1,3,1,2,1,1,0,2,0,1,.798,-.0979971086492706,4,13,3,1,1,3,4,0,0,1,0,1,46,17,1,2,2,1,1,3,3,1,1,7,6, , ,2,1,0, ,0,4,1,0,0,1,1,1,1,1,1,1,1,1,1
BFA,Burkina Faso,4,4,22,18646433,1,2,2,1,0,0,1,2,2,3,1,1,0,0,2,0,0,0,.3558,-.448794056252094,2,6,1,0,0,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,5,1,1,0,2,0, ,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
BDI,Burundi,4,4,16,10524117,1,2,3,0,0,0,0,0,0,2,0,1,0,0,2,0,0,0,.3227,-.491201034596095,2,6,1,0,0,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,5,1,1,0,2,0, ,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0
CPV,Cabo Verde,4,4,22,539560,1,2,2,1,0,0,1,2,2,3,1, , ,0,1,1,0,0,.5604,-.251501873386263,3,10,2,0, , , , , , , , ,1,0,0,0,0,0,0,0,0,0,0,1,5,1,1,0,4, , ,1,1, ,1,0,1,1, , , ,1,1,0,1,0
KHM,Cambodia,7,7,7,15762370,1,2,0,1,1,1,1,1,1,2,0,1,0,0,2,1,0,0,.5113,-.291324207273463,3,9,2,0,0,2,2,1,0,0,1,0,7,1,1,1,1,1,0,1,2,0,1, , , , ,0,2,0, , , ,1,1,0,1,1,1,1,1,1,1,1,1,1
CMR,Cameroon,4,4,20,23439189,1,2,2,1,0,0,1,2,2,2,0,1,0,0,2,0,0,0,.4325,-.364013888199167,2,7,2,0,0,1,1,0,0,0,1,0,4,0,0,0,1,0,0,0,1,0,0,1,5,1,1,0,2,0, ,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
CAN,Canada,6,6,2,36264604,1,2,0,1,1,1,1,1,1,4,1,2,1,1,0,3,1,0,.842,-.0746879085003505,4,15,4,1,1,3,4,0,0,1,0,1,15,12,1,2,2,1,1,3,2,1,1,7,6,3,4,2,0,0, ,5,5,1,0,0,1,1,1,1,1,1,1,1,1,1
CAF,Central African Republic,4,4,20,4594621,1,2,3,0,0,0,0,0,0,3,1, , ,0,2,0,0,0,.1404,-.852632892206214,1,2,1,0, , , , , , , , ,1,0,0,0,0,0,0,0,0,0,0,1,5,1,1,0,2,0, ,1,1, ,1,0,1,1, , , ,1,1,0,1,0
TCD,Chad,4,4,20,14452543,1,2,3,0,0,0,0,0,0,2,0,1,0,0,2,0,0,0,.1557,-.80771138743188,1,3,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,5,1,1,0,2,0, ,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0
CHL,Chile,5,5,5,17909754,1,2,0,1,1,1,1,1,1,3,1,2,1,1,0,3,1,0,.8259,-.0830725338870073,4,14,4,1,1,3,3,0,1,0,0,1,30,9,1,2,2,1,1,3,3,1,1,5,0, , ,0,2,0, ,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
CHN,China,7,7,17,1378665000,1,2,1,1,0,1,1,2,1,1,0,2,1,1,0,2,0,1,.7948,-.0997421415622225,4,13,3,1,1,2,3,0,1,0,0,1,16,7,1,2,2,1,1,3,2,1,1,5,5,2,2,0,2,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
COL,Colombia,5,5,5,48653419,1,2,0,1,1,1,1,1,1,3,1,2,1,1,1,2,0,1,.7164,-.144844422823006,3,12,3,1,1,2,3,0,1,0,0,1,15,10,1,2,2,1,1,3,2,1,1,5,0, , ,0,2,0, ,2,2,1,0,0,1,1,1,1,1,1,1,1,1,1
COG,Congo,4,4,20,5125821,1,2,3,0,0,0,0,0,0,2,0,1,0,0,2,0,0,0,.3786,-.421819390372222,2,6,2,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0, , , , , , , , , , ,1,1,0,1,1,1,1,1,1,1,1,1,0
COD,"Congo, Dem. Rep.",4,4,16,78736153,1,2,3,0,0,0,0,0,0,2,0,1,0,0,2,0,0,0,.258, ,2,5,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5,5,1,1,0,2,0, ,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0
CRI,Costa Rica,5,5,6,4857274,1,2,0,1,1,1,1,1,1,4,1,2,1,1,1,2,0,1,.7576,-.120560034004783,4,13,3,1,1,2,3,0,1,0,0,1,15,7,1,2,2,1,1,3,2,1,1, , , , , ,1, , ,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
CIV,Côte d'Ivoire,4,4,22,23695919,1,2,2,1,0,0,1,2,2,3,1,1,0,0,2,0,0,0,.4457,-.350957365913824,2,8,2,0,0,1,1,0,0,0,1,0,4,1,1,1,1,0,0,1,1,0,0,0,5,1,1,0,4,0,1,4,4,1,1,0,1,1,1,1,1,1,1,1,1,1
HRV,Croatia,2,2,1,4174349,1,2,0,1,1,1,1,1,1,3,1,2,1,1,0,2,0,1,.7745,-.110978577904775,4,13,4,1,1,3,4,0,0,1,0,1,46,17,1,2,2,1,1,3,3,1,1,7,6, , ,2,1,2, , , ,1,0,0,1,1,1,1,1,1,1,1,1,1
CUB,Cuba,5,8,30,11475982,1,2,3,0,0,0,0,0,0,1,0, , ,0,2,0,0,0,.4439,-.352714854974633,2,8,3,1, , , , , , , , ,4,0,0,0,1,0,0,0,1,0,0, , , , , , , , , , ,0,1,0,1,1,0,0,0,1,1,0,1,0
CYP,Cyprus,2,2,1,1170125,1,2,0,1,1,1,1,1,1,4,1,2,1,1,0,3,1,0,.8731,-.058936011780098,4,15,4,1,1,3,3,0,1,0,0,1,46,17,1,2,2,1,1,3,3,1,1,7,6, , ,2,1,2, ,4,4,1,0,0,1,1,1,1,1,1,1,1,1,1
CZE,Czech Republic,2,2,1,10566332,1,2,0,1,1,1,1,1,1,4,1,2,1,1,0,2,0,1,.8135,-.0896424427271224,4,14,4,1,1,3,4,0,0,1,0,1,46,17,1,2,2,1,1,3,3,1,1,7,6, , ,2,1,2, ,4,4,1,0,0,1,1,1,1,1,1,1,1,1,1
DNK,Denmark,2,2,1,5728010,1,2,0,1,1,1,1,1,1,4,1,2,1,1,0,3,1,0,.9758,-.0106391862237526,4,16,4,1,1,3,4,0,0,1,0,1,46,17,1,2,2,1,1,3,3,1,1,7,6, , ,2,1,2, ,4,4,1,0,0,1,1,1,1,1,1,1,1,1,1
DJI,Djibouti,3,3,16,942333,1,2,3,0,0,0,0,0,0,2,0,1,0,0,2,0,0,0,.2728,-.564155634015559,2,5,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , , , ,1,1,0,1,1,1,1,1,1,1,1,1,0
DMA,Dominica,5,8,10,73543,1,2,3,0,0,0,0,0,0,0, , , ,0,1,1,0,0,.6013,-.220908796154501,3,10,3,1, , , , , , , , ,3,3,1,1,0,0,0,2,1,1,0, , , , , , , , , , , ,1,0,1,1, , , ,1,1,0,0,0
DOM,Dominican Republic,5,8,6,10648791,1,2,3,0,0,0,0,0,0,3,1,2,1,1,1,2,0,1,.6782,-.168642214557932,3,11,3,1,0,2,2,1,0,0,1,0,5,3,1,1,1,0,0,2,1,1,0, , , , , , , , , , ,1,1,0,1,1,1,1,1,1,1,1,1,0
ECU,Ecuador,5,5,30,16385068,1,2,2,1,0,0,1,2,2,3,1,1,0,1,1,2,0,1,.7015,-.153972324635621,3,12,3,1,0,2,2,1,0,0,1,0,7,1,1,1,1,1,0,1,2,0,1,0,0, , ,0,0,0, , , ,1,1,0,1,1,1,0,1,1,1,1,1,0
EGY,"Egypt, Arab Rep.",3,3,16,95688681,1,2,3,0,0,0,0,0,0,2,0,1,0,0,1,1,0,0,.5527, ,3,9,2,0,0,1,1,0,0,0,1,0,10,0,0,0,1,1,0,0,2,0,1, , , , , , , , , , ,1,1,0,1,1,1,1,1,1,1,1,1,0
SLV,El Salvador,5,5,6,6344722,1,2,1,1,0,1,1,2,1,3,1,1,0,0,1,1,0,0,.5697,-.24435378054332,3,10,2,0,0,1,2,1,0,0,1,0,13,3,1,1,2,1,0,2,2,1,1, , , , , , , , , , ,1,1,0,1,1,1,1,1,1,1,1,1,1
EST,Estonia,2,2,1,1315790,1,2,0,1,1,1,1,1,1,4,1,2,1,1,0,3,1,0,.9473,-.02351246269481,4,16,4,1,1,3,4,0,0,1,0,1,46,17,1,2,2,1,1,3,3,1,1,7,6, , ,2,1,2, , , ,1,0,0,1,1,1,1,1,1,1,1,1,1
SWZ,Eswatini,4,4,16,1343098,1,2,3,0,0,0,0,0,0,0, ,1,0,0,2,1,0,0,.4938,-.306448914404087,2,8,2,0,0,1,2,1,0,0,1,0,7,0,0,0,1,1,0,0,2,0,1,1,5,1,1,0,2,0, , , ,1,1,0,1,1,1,1,1,1,1,1,0,0
FJI,Fiji,7,7,28,898760,1,2,3,0,0,0,0,0,0,2,0, , ,0,1,1,0,0,.6585,-.181444220702197,3,11,3,1, , , , , , , , ,5,0,0,0,1,0,0,0,1,0,0, , , , , , , , , , , ,1,0,1,1, , , ,1,1,0,1,0
FIN,Finland,2,2,1,5495303,1,2,0,1,1,1,1,1,1,4,1,2,1,1,0,3,1,0,.9452,-.0244762870396686,4,16,4,1,1,3,4,0,0,1,0,1,46,17,1,2,2,1,1,3,3,1,1,7,6, , ,2,1,2, , , ,1,0,0,1,1,1,1,1,1,1,1,1,1
FRA,France,2,2,1,66859768,1,2,0,1,1,1,1,1,1,4,1,2,1,1,0,3,1,0,.8718,-.0595831353183348,4,15,4,1,1,3,4,0,0,1,0,1,46,17,1,2,2,1,1,3,3,1,1,7,6, , ,2,1,2, , , ,1,0,0,1,1,1,1,1,1,1,1,1,1
GAB,Gabon,4,4,20,1979786,1,2,3,0,0,0,0,0, ,2,0,1,0,0,1,1,0,0,.5401,-.267525822718806,3,9,3,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,5,1,1,0,2,0, ,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0
GMB,"Gambia, The",4,4,22,2038501,1,2,2,1,0,0,1,2,2,2,0, , ,0,2,0,0,0,.263,-.580044251510242,2,5,1,0, , , , , , , , ,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,2,0, ,1,1, ,1,0,1,1, , , ,1,1,0,1,0
GEO,Georgia,2,2,23,3719300,1,2,1,1,0,1,1,2,1,3,1,2,1,1,1,2,0,1,.7174,-.144238627660052,3,12,3,1,1,2,3,0,1,0,0,1,14,4,1,2,2,1,0,2,2,1,1, , , , , , , , , , ,1,1,0,1,1,1,1,1,1,1,1,1,1
DEU,Germany,2,2,1,82348669,1,2,0,1,1,1,1,1,1,4,1,2,1,1,0,3,1,0,.8524,-.0693565589578356,4,15,4,1,1,3,4,0,0,1,0,1,46,17,1,2,2,1,1,3,3,1,1,7,6, , ,2,1,2, ,4,4,1,0,0,1,1,1,1,1,1,1,1,1,1
GHA,Ghana,4,4,22,28206728,1,2,3,0,0,0,0,0,0,3,1,1,0,0,1,1,0,0,.596,-.224753740259764,3,10,2,0,0,1,1,0,0,0,1,0,4,2,1,1,1,0,0,1,1,0,0,1,5,1,1,0,2,0, ,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0
GRC,Greece,2,2,1,10775971,1,2,0,1,1,1,1,1,1,3,1,2,1,1,0,2,0,1,.8021,-.0957714836599215,4,14,4,1,1,3,3,0,1,0,0,1,46,17,1,2,2,1,1,3,3,1,1,7,6, , ,2,1,2, ,4,4,1,0,0,1,1,1,1,1,1,1,1,1,1
GRD,Grenada,5,8,10,107317,1,2,3,0,0,0,0,0,0,0, , , ,0,1,1,0,0,.5812,-.235674394374016,3,10,3,1, , , , , , , , ,3,3,1,1,0,0,0,2,1,1,0, , , , , , , , , , , ,1,0,1,1, , , ,1,1,0,0,0
GTM,Guatemala,5,5,6,16582469,1,2,4,1,1,0,1,1,2,3,1,1,0,0,2,1,0,0,.5155,-.287771330380465,3,9,3,1,0,1,2,1,0,0,1,0,10,4,1,2,1,1,0,2,2,1,1,0,0, , ,0,2,0, , , ,1,1,1,1,1,1,1,1,1,1,1,1,1
GIN,Guinea,4,4,22,12395924,1,2,3,0,0,0,0,0,0,2,0,1,0,0,2,0,0,0,.2592,-.586365002801444,2,5,1,0,0,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0, , , , , , , , , , ,1,1,0,1,1,1,1,1,1,1,1,1,0
GNB,Guinea-Bissau,4,4,22,1815698,1,2,3,0,0,0,0,0,0,3,1, , ,0,2,0,0,0,.2316,-.635261444944601,1,4,1,0, , , , , , , , ,1,0,0,0,0,0,0,0,0,0,0, , , , , , , , , , , ,1,0,1,1, , , ,1,1,0,1,0
GUY,Guyana,5,8,10,773303,1,2,3,0,0,0,0,0,0,3,1, , ,0,2,1,0,0,.4909,-.309006967900131,2,8,3,1, , , , , , , , ,4,3,1,1,1,0,0,2,1,1,0, , , , , , , , , , , ,1,0,1,1, , , ,1,1,0,1,0
HTI,Haiti,5,8,10,10847334,1,2,3,0,0,0,0,0,0,2,0,1,0,0,2,0,0,0,.2723,-.564952358660035,2,5,2,0,0,1,1,0,0,0,1,0,2,2,1,1,0,0,0,1,0,0,0, , , , , , , , , , ,1,1,0,1,1,1,1,1,1,1,1,1,0
HND,Honduras,5,5,6,9112867,1,2,1,1,0,1,1,2,1,2,0,1,0,0,2,0,0,0,.4486,-.348140730753051,2,8,2,0,0,1,2,1,0,0,1,0,13,5,1,2,2,1,1,2,2,1,1, , , , , , , , , , ,1,1,0,1,1,1,1,1,1,1,1,1,1
HKG,"Hong Kong SAR, China",7,7,8,7336600,1,2,0,1,1,1,1,1,1,0, ,2,1, , , , , , , , , ,4,1,1,3,4,0,0,1,0,1,8,4,1,2,1,1,0,2,2,1,1, , , , , , , , , , ,1,1,0,1,1,1,0,1,1, ,1,0,1
HUN,Hungary,2,2,1,9814023,1,2,0,1,1,1,1,1,1,3,1,2,1,1,1,2,0,1,.7745,-.110978577904775,4,13,4,1,1,3,4,0,0,1,0,1,46,17,1,2,2,1,1,3,3,1,1,7,6, , ,2,1,2, ,4,4,1,0,0,1,1,1,1,1,1,1,1,1,1
ISL,Iceland,2,2,23,335439,1,2,0,1,1,1,1,1,1,4,1,2,1,1,0,3,1,0,.9101,-.0409108856326078,4,16,4,1,1,3,4,0,0,1,0,1,32,5,1,2,2,1,1,2,3,1,1, , , , , , , , , , ,1,1,0,1,1,1,1,1,1,1,1,1,1
IND,India,1,1,17,1324171354,1,2,3,0,0,0,0,0,0,3,1,2,1,0,1,1,0,0,.5964,-.224462365219043,3,10,2,0,0,2,2,1,0,0,1,0,17,1,1,1,2,1,0,1,2,0,1,2,2,1,1,5,2,0, ,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0
IDN,Indonesia,7,7,7,261115456,1,2,2,1,0,0,1,2,2,3,1,1,0,0,1,1,0,0,.6612,-.17966715510059,3,11,2,0,1,2,3,0,1,0,0,1,12,2,1,1,1,1,0,1,2,0,1,4,0,2,2,0,2,0, ,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
IRL,Ireland,2,2,1,4755335,1,2,0,1,1,1,1,1,1,4,1,2,1,1,0,3,1,0,.8433,-.0740178996728968,4,15,4,1,1,3,4,0,0,1,0,1,46,17,1,2,2,1,1,3,3,1,1,7,6, , ,2,1,2, ,4,4,1,0,0,1,1,1,1,1,1,1,1,1,1
ISR,Israel,3,3,8,8546000,1,2,0,1,1,1,1,1,1,3,1,2,1,1,0,3,1,0,.8361,-.0777417765670334,4,14,4,1,1,3,3,0,1,0,0,1,10,1,1,1,1,1,0,1,2,0,1, , , , , , , , , , ,1,1,0,1,1,1,0,1,1,1,1,1,1
ITA,Italy,2,2,1,60627498,1,2,0,1,1,1,1,1,1,4,1,2,1,1,0,3,1,0,.8231,-.0845473983115212,4,14,4,1,1,3,4,0,0,1,0,1,46,17,1,2,2,1,1,3,3,1,1,7,6, , ,2,1,2, ,4,4,1,0,0,1,1,1,1,1,1,1,1,1,1
JAM,Jamaica,5,8,10,2881355,1,2,3,0,0,0,0,0,0,3,1,1,1,0,1,1,0,0,.5392,-.268250116472737,3,9,3,1,0,2,2,1,0,0,1,0,3,3,1,1,0,0,0,2,1,1,0, , , , , , , , , , ,1,1,0,1,1,1,1,1,1,1,1,1,0
JPN,Japan,7,7,14,126994511,1,2,0,1,1,1,1,1,1,4,1,2,1,1,0,3,1,0,.8989,-.0462886195724446,4,16,4,1,1,3,4,0,0,1,0,1,18,9,1,2,2,1,1,3,3,1,1,7,6, , ,0,1,2, , , ,1,0,0,1,1,1,1,1,1,1,1,1,1
JOR,Jordan,3,3,26,9455802,1,2,3,0,0,0,0,0,0,1,0,1,1,0,2,1,0,0,.5309,-.274987274658843,3,9,3,1,0,1,2,1,0,0,1,0,8,3,1,1,1,1,0,2,2,1,1, , , , , , , , , , ,1,1,1,1,1,1,1,1,1,1,1,1,0
KAZ,Kazakhstan,2,2,18,17794055,1,2,0,1,1,1,1,1,1,2,0,2,1,1,0,3,1,0,.8375,-.0770151842911171,4,15,3,1,1,2,3,0,1,0,0,1,11,3,1,1,1,1,0,2,2,1,1, , , , , , , , , , ,1,1,0,1,1,1,1,1,1,1,1,1,1
KEN,Kenya,4,4,16,48461567,1,2,2,1,0,0,1,2,2,3,1,1,0,0,1,1,0,0,.5326,-.273598837897078,3,9,2,0,0,2,2,1,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0,1,5,1,1,0,1,0, ,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
KOR,"Korea, Rep.",7,7,17,51245707,1,2,0,1,1,1,1,1,1,4,1,2,1,1,0,3,1,0,.956, ,4,16,4,1,1,3,3,0,1,0,0,1,20,11,1,2,2,1,1,3,3,1,1, , , , , , , , , , ,1,0,0,1,1,1,1,1,1,1,1,1,1
KWT,Kuwait,3,3,25,4052584,1,2,0,1,1,1,1,1,1,1,0,2,1,1,0,2,0,1,.7913,-.101658834272491,4,13,4,1,0,2,3,0,1,0,1,0,3,2,1,1,0,0,0,1,1,0,0, , , , , , , , , , ,1,1,0,1,1,1,1,1,1,1,1,1,1
KGZ,Kyrgyz Republic,2,2,18,6079500,1,2,2,1,0,0,1,2,2,3,1,1,0,1,1,2,0,1,.6749,-.170760571858611,3,11,2,0,0,2,2,1,0,0,1,0,10,0,0,0,1,1,0,0,2,0,1, , , , , , , , , , ,1,1,0,1,1,1,1,1,1,1,1,1,0
LAO,Lao PDR,7,7,7,6758353,1,2,0,1,1,1,1,1,1,1,0,1,0,0,2,0,0,0,.3288,-.483068191131987,2,6,2,0,0,1,1,0,0,0,1,0,9,1,1,1,1,1,0,1,2,0,1, , , , , , , , , , ,1,1,0,1,1,1,1,1,1,1,1,1,1
LVA,Latvia,2,2,1,1959537,1,2,0,1,1,1,1,1,1,4,1,2,1,1,0,2,0,1,.7798,-.108016769148033,4,13,4,1,1,3,4,0,0,1,0,1,46,17,1,2,2,1,1,3,3,1,1,7,6, , ,2,1,0, , , ,1,0,0,1,1,1,1,1,1,1,1,1,1
LSO,Lesotho,4,4,16,2203821,1,2,3,0,0,0,0,0,0,3,1,1,0,0,2,1,0,0,.4593,-.337903554582077,2,8,2,0,0,1,2,1,0,0,1,0,7,0,0,0,1,1,0,0,2,0,1,1,5,1,1,0,2,0, ,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0
